Product ID,Store ID,Stock Levels,Supplier Lead Time (days),Stockout Frequency,Reorder Point,Expiry Date,Warehouse Capacity,Order Fulfillment Time (days),Needs Reorder,Expiring Soon,High Stockout Risk,Low Warehouse Capacity,Alert
9286,16,700,10,14,132,2024-01-15,1052,6,False,True,True,False,True
2605,60,82,11,1,127,2024-12-16,1262,9,True,True,False,False,True
2859,55,145,25,14,192,2024-04-30,1457,12,True,True,True,False,True
2374,24,151,17,6,19,2024-12-16,2944,3,False,True,False,False,True
7678,5,714,12,2,21,2024-08-05,3739,7,False,True,False,False,True
8620,53,11,25,9,193,2024-05-01,3988,11,True,True,False,False,True
7599,22,960,3,6,185,2024-08-10,4383,13,False,True,False,False,True
7327,19,111,14,13,25,2024-05-28,1373,3,False,True,True,False,True
1002,28,569,10,4,141,2024-11-29,4949,13,False,True,False,False,True
8343,38,462,9,19,193,2024-06-02,2429,8,False,True,True,False,True
8078,68,271,11,6,173,2024-09-19,1854,4,False,True,False,False,True
2105,21,87,25,5,196,2024-04-12,4019,8,True,True,False,False,True
5907,2,410,3,13,88,2024-10-01,4350,2,False,True,True,False,True
2319,27,301,10,19,92,2024-10-03,1737,10,False,True,True,False,True
4733,41,611,10,0,190,2024-02-19,3714,4,False,True,False,False,True
4093,61,167,4,6,114,2024-11-20,4808,5,False,True,False,False,True
4493,8,732,8,13,179,2024-10-28,4095,14,False,True,True,False,True
8402,93,152,20,8,189,2024-04-14,3030,4,True,True,False,False,True
6046,97,317,4,18,156,2024-06-25,1338,2,False,True,True,False,True
9090,37,964,10,11,90,2024-06-08,2564,6,False,True,True,False,True
3164,47,620,11,10,136,2024-06-24,4761,14,False,True,False,False,True
6816,88,947,17,5,63,2024-01-30,4537,1,False,True,False,False,True
3099,91,462,28,18,195,2024-03-28,2813,1,False,True,True,False,True
5425,9,253,1,19,59,2024-01-17,3209,2,False,True,True,False,True
7648,77,482,25,16,152,2024-04-11,4961,7,False,True,True,False,True
6841,69,789,6,1,105,2024-05-11,2024,1,False,True,False,False,True
9337,79,38,7,16,172,2024-07-19,4313,12,True,True,True,False,True
1369,33,217,1,19,32,2024-02-14,1005,11,False,True,True,False,True
1240,88,127,11,0,154,2024-06-10,3355,1,True,True,False,False,True
4415,1,50,23,3,117,2024-04-29,4664,5,True,True,False,False,True
2852,8,82,10,5,154,2024-06-06,1158,5,True,True,False,False,True
9439,33,66,12,10,151,2024-07-03,1463,5,True,True,False,False,True
5332,69,441,28,10,11,2024-06-10,1831,6,False,True,False,False,True
8800,28,204,7,7,128,2024-03-27,3063,5,False,True,False,False,True
5128,50,484,23,3,183,2024-09-30,4075,4,False,True,False,False,True
9258,75,446,8,9,65,2024-07-02,1898,9,False,True,False,False,True
8519,67,725,8,7,126,2024-06-23,2617,8,False,True,False,False,True
2750,58,846,5,19,170,2024-05-09,2392,6,False,True,True,False,True
3169,22,797,4,18,73,2024-06-05,1154,2,False,True,True,False,True
1012,56,870,22,15,98,2024-07-28,2922,12,False,True,True,False,True
6063,14,131,24,6,113,2024-11-05,3486,12,False,True,False,False,True
8037,29,531,24,14,53,2024-07-05,2817,14,False,True,True,False,True
9443,43,934,5,5,102,2024-07-09,1586,7,False,True,False,False,True
6954,63,738,2,5,188,2024-09-24,2572,10,False,True,False,False,True
6227,76,639,20,14,192,2024-11-25,3264,11,False,True,True,False,True
6727,93,570,21,16,73,2024-12-05,2095,1,False,True,True,False,True
2615,94,538,5,2,25,2024-01-09,3756,2,False,True,False,False,True
4990,73,515,28,18,154,2024-12-23,4972,9,False,True,True,False,True
2321,2,302,26,3,97,2024-03-02,3240,8,False,True,False,False,True
9005,42,669,27,11,82,2024-06-30,2264,10,False,True,True,False,True
5367,8,383,26,13,149,2024-04-03,1051,5,False,True,True,False,True
1356,78,643,16,3,141,2024-03-12,2109,4,False,True,False,False,True
7667,66,515,20,9,143,2024-11-21,4655,7,False,True,False,False,True
2327,16,61,1,6,136,2024-11-02,1826,7,True,True,False,False,True
3156,7,146,20,9,122,2024-09-11,3060,7,False,True,False,False,True
5873,45,247,22,0,155,2024-02-23,1473,13,False,True,False,False,True
5761,1,621,3,18,39,2024-11-13,4875,3,False,True,True,False,True
7874,78,499,26,1,104,2024-11-05,2992,3,False,True,False,False,True
1294,31,949,13,4,198,2024-11-08,2465,13,False,True,False,False,True
7491,36,942,14,19,39,2024-12-06,3020,14,False,True,True,False,True
4547,20,559,22,16,144,2024-03-24,4953,5,False,True,True,False,True
1376,35,694,25,8,193,2024-11-07,4430,5,False,True,False,False,True
9936,3,614,14,6,14,2024-03-06,2652,11,False,True,False,False,True
6489,16,908,12,5,124,2024-04-20,4919,3,False,True,False,False,True
8813,43,639,16,0,76,2024-11-01,1130,1,False,True,False,False,True
1085,20,536,1,12,160,2024-03-11,3468,13,False,True,True,False,True
7236,3,369,23,9,135,2024-03-04,1410,3,False,True,False,False,True
8520,62,843,12,15,75,2024-09-04,3447,5,False,True,True,False,True
8654,54,844,17,2,175,2024-11-13,2329,4,False,True,False,False,True
2211,63,709,17,18,15,2024-06-10,4602,7,False,True,True,False,True
1212,67,454,26,1,87,2024-06-26,1929,12,False,True,False,False,True
4083,65,896,23,2,166,2024-09-15,3169,4,False,True,False,False,True
6630,48,663,4,9,176,2024-05-11,4572,10,False,True,False,False,True
2954,67,941,5,11,80,2024-03-31,3029,12,False,True,True,False,True
3151,65,127,25,7,75,2024-10-07,4003,3,False,True,False,False,True
6675,55,432,20,15,84,2024-10-24,4866,14,False,True,True,False,True
5119,53,171,6,13,18,2024-02-11,4894,12,False,True,True,False,True
6302,71,563,22,12,125,2024-10-29,1128,12,False,True,True,False,True
2928,46,660,25,8,22,2024-07-23,3929,11,False,True,False,False,True
9342,73,781,23,17,47,2024-07-21,2590,13,False,True,True,False,True
2242,42,408,6,15,23,2024-10-12,4068,13,False,True,True,False,True
4208,85,279,3,2,106,2024-08-22,3633,6,False,True,False,False,True
4366,55,213,24,3,177,2024-10-25,4481,13,False,True,False,False,True
1056,34,507,10,2,146,2024-12-21,1045,6,False,True,False,False,True
7540,47,273,21,3,76,2024-01-16,2844,3,False,True,False,False,True
3444,62,548,12,4,125,2024-08-30,4198,7,False,True,False,False,True
1556,45,121,3,5,128,2024-09-06,1022,9,True,True,False,False,True
3216,87,705,27,9,198,2024-07-12,3038,14,False,True,False,False,True
7517,10,726,8,0,162,2024-10-26,1168,9,False,True,False,False,True
5500,62,551,1,16,127,2024-05-20,1620,3,False,True,True,False,True
9739,55,544,28,5,46,2024-12-01,3130,8,False,True,False,False,True
9965,54,886,22,19,145,2024-03-01,3891,7,False,True,True,False,True
9265,38,843,23,8,97,2024-05-16,4646,12,False,True,False,False,True
5520,21,649,12,9,58,2024-09-22,4649,11,False,True,False,False,True
7000,34,371,19,17,92,2024-01-20,1763,9,False,True,True,False,True
9358,79,937,4,7,191,2024-12-22,3698,4,False,True,False,False,True
6632,47,235,6,12,71,2024-04-26,3628,4,False,True,True,False,True
7455,95,44,16,4,72,2024-08-08,1545,2,True,True,False,False,True
8103,36,676,24,2,122,2024-06-07,1970,2,False,True,False,False,True
4677,1,934,24,12,60,2024-02-24,2271,12,False,True,True,False,True
8700,4,766,20,16,115,2024-09-03,3480,12,False,True,True,False,True
9646,51,424,10,2,121,2024-03-29,1240,12,False,True,False,False,True
2698,79,370,9,2,36,2024-09-06,3848,11,False,True,False,False,True
1729,9,211,17,16,94,2024-05-23,3682,13,False,True,True,False,True
3283,39,67,28,5,56,2024-03-25,4945,13,False,True,False,False,True
6468,18,823,29,17,39,2024-02-18,4140,6,False,True,True,False,True
4323,33,928,8,19,162,2024-08-31,2757,3,False,True,True,False,True
9818,59,627,24,19,24,2024-05-27,1486,1,False,True,True,False,True
3689,90,842,10,11,198,2024-10-15,4562,1,False,True,True,False,True
4997,98,722,3,16,192,2024-09-07,2122,2,False,True,True,False,True
6557,33,725,12,17,116,2024-10-09,2157,12,False,True,True,False,True
5407,62,744,7,6,19,2024-04-19,2985,2,False,True,False,False,True
7368,13,660,8,18,44,2024-06-29,3584,12,False,True,True,False,True
3955,44,852,24,8,120,2024-04-16,1558,9,False,True,False,False,True
3346,87,751,8,13,185,2024-07-24,4885,11,False,True,True,False,True
2415,99,420,13,18,15,2024-02-18,4470,11,False,True,True,False,True
1596,58,887,25,13,159,2024-11-15,1333,6,False,True,True,False,True
7844,83,714,24,1,28,2024-01-30,3435,13,False,True,False,False,True
1260,98,360,26,2,197,2024-09-04,4537,8,False,True,False,False,True
8886,65,483,12,0,189,2024-04-30,2801,5,False,True,False,False,True
9773,32,38,1,7,106,2024-05-09,2804,8,True,True,False,False,True
1628,40,208,24,4,92,2024-12-17,1187,7,False,True,False,False,True
3579,65,574,7,18,70,2024-08-23,2141,10,False,True,True,False,True
5046,80,224,9,19,18,2024-10-08,4822,6,False,True,True,False,True
5750,54,43,9,1,151,2024-01-14,3430,5,True,True,False,False,True
3383,18,287,27,5,43,2024-01-28,1370,1,False,True,False,False,True
7014,86,863,18,16,170,2024-12-19,2967,11,False,True,True,False,True
5254,19,161,8,5,23,2024-12-06,1391,12,False,True,False,False,True
8900,77,81,21,19,159,2024-06-12,4115,4,True,True,True,False,True
8704,54,560,8,0,128,2024-03-18,1682,5,False,True,False,False,True
